填料类型,填料类别,填料负载量(mg/cm²),比表面积(m²/g),粒径(nm),孔体积(cm³/g),基底材料,隔膜厚度(μm),孔隙率,电解液体系,温度(°C),倍率(C),循环次数,离子电导率(mS/cm),初始比容量(mAh/g),容量保持率(%),库伦效率(%),穿梭因子
MnO₂,金属氧化物,1.816,82.2,28.6,0.309,GF/A(玻璃纤维),263.8,0.777,DOL/DME + 0.5M LiTFSI,35,0.1,1000,2.199,927.5,98.1,96.08,0.02
rGO,碳基,1.178,339.3,6.4,0.829,Whatman GF/D,674.2,0.835,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,0.2,1000,2.255,1427.0,85.9,97.27,0.096
氧化石墨烯(GO),碳基,2.732,409.6,3.8,0.722,PET,8.2,0.434,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,3.0,100,1.063,654.2,99.0,99.9,0.02
WO₃,金属氧化物,2.885,40.6,36.2,0.176,Whatman GF/D,675.4,0.855,砜类(DIPAS) + 1M LiTFSI,55,0.1,800,0.88,629.9,99.0,95.52,0.0518
石墨烯,碳基,0.392,434.9,9.6,0.789,PI(聚酰亚胺),19.1,0.495,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,1.0,300,0.332,1171.0,99.0,92.99,0.2308
ZIF-8,MOF/COF,2.324,1904.7,4.1,0.611,尼龙膜,24.7,0.549,DOL/DME + 2M LiTFSI,30,0.5,500,1.777,1114.6,99.0,97.61,0.02
VN,氮化物,0.361,46.1,23.9,0.206,尼龙膜,24.0,0.581,砜类(DIPAS) + 1M LiTFSI,55,1.0,50,0.819,1092.1,96.1,91.31,0.2815
Fe₂O₃,金属氧化物,0.404,47.7,38.7,0.155,PVDF-HFP,17.9,0.603,DOL/DME + 1M LiTFSI,25,3.0,200,1.425,908.5,92.9,92.29,0.3137
MXene(Ti₃C₂),其他,2.931,90.4,9.8,0.356,GF/A(玻璃纤维),252.9,0.817,DOL/DME + 1M LiTFSI,60,0.5,500,2.507,573.3,99.0,96.04,0.02
MnO₂,金属氧化物,1.919,74.4,30.5,0.231,PVDF,34.6,0.685,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,100,1.295,795.0,99.0,99.9,0.02
