填料类型,填料类别,填料含量(wt%),比表面积(m²/g),粒径(nm),基底/聚合物,膜厚度(μm),温度(°C),压力(MPa),倍率(C),循环次数,离子电导率(mS/cm),界面阻抗(Ω·cm²),初始比容量(mAh/g),容量保持率(%),库伦效率(%),电化学窗口(V)
Na₃PS₄(参考),硫化物,25.9,18.9,583.5,PVDF-HFP,37.6,25,310.9,1.0,100,0.01743,59.3,439.3,94.6,96.77,2.66
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,22.3,6.6,1264.3,PAN(聚丙烯腈),47.5,60,184.0,1.0,100,1.20555,79.2,859.2,92.3,95.43,2.37
LLZO/PVDF纳米纤维,复合,16.4,56.6,73.3,PAN(聚丙烯腈),10.0,40,450.4,0.2,300,0.00514,31.2,703.4,98.0,97.34,4.49
Na₃PS₄(参考),硫化物,27.5,8.6,577.9,PCL(聚己内酯),54.9,60,246.6,0.05,100,0.06608,45.8,853.5,91.2,96.97,2.58
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,56.9,13.6,711.5,PEG(聚乙二醇),42.3,55,191.7,0.2,100,1.34697,105.2,783.1,98.0,96.09,5.0
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,29.7,20.8,282.1,PCL(聚己内酯),57.1,25,361.4,0.5,100,0.01839,57.6,501.5,98.0,97.74,4.97
Li₆PS₅Br,硫化物,49.0,8.3,827.3,PEG(聚乙二醇),29.8,70,280.9,0.05,500,2.23143,64.2,982.5,89.3,96.92,2.43
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,70.8,24.1,270.9,PEG(聚乙二醇),34.0,30,298.6,0.5,800,0.18953,88.6,583.3,84.2,98.21,5.01
LLZO/PVDF纳米纤维,复合,60.1,50.7,103.9,PAN(聚丙烯腈),37.3,80,320.3,0.2,100,0.50227,33.0,999.3,98.0,95.22,4.44
LLZO@GO复合,复合,13.9,160.1,49.7,纤维素基,39.0,80,237.6,0.1,200,0.02187,30.3,1007.4,98.0,96.3,4.22
Li₃PS₄,硫化物,40.8,15.6,568.1,PPC(聚碳酸亚丙酯),33.4,55,312.8,0.5,300,0.43591,39.7,736.9,98.0,96.56,2.6
LLZO@GO复合,复合,19.7,134.7,39.4,PVA(聚乙烯醇),15.0,45,272.4,0.5,50,0.01821,38.5,677.6,98.0,99.23,4.23
Li₆PS₅Br,硫化物,60.2,11.7,626.8,PEO(聚环氧乙烷),50.6,50,353.1,0.2,100,1.66917,65.1,865.7,98.0,97.17,2.49
LLZO/PVDF纳米纤维,复合,65.5,55.2,60.1,PVDF,45.4,25,355.8,0.5,100,0.11137,61.9,631.8,98.0,97.32,4.52
Li₃PS₄,硫化物,74.2,12.5,309.2,PVDF-HFP,32.8,60,250.8,0.5,200,1.14365,45.5,761.0,90.4,95.89,2.52
Li₂S-P₂S₅(75:25),硫化物,43.9,12.7,690.9,PVA(聚乙烯醇),22.7,25,203.8,0.2,100,0.54126,84.6,710.2,95.5,96.17,2.43
LATP/CNT复合,复合,57.9,145.8,55.3,PEO(聚环氧乙烷),41.5,60,218.4,0.2,100,0.57346,50.7,882.4,98.0,96.04,4.33
LLZO(Li₇La₃Zr₂O₁₂),氧化物,21.8,10.9,697.7,PAN(聚丙烯腈),19.1,25,183.5,0.2,200,0.00804,105.9,498.3,98.0,97.85,5.07
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,71.0,12.1,582.5,PVDF-HFP,39.8,70,499.1,0.1,200,2.70359,51.2,1078.9,96.1,97.04,4.61
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,35.5,23.8,405.5,PI(聚酰亚胺),36.0,70,485.4,0.2,100,0.23795,38.8,908.2,98.0,96.84,5.15
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,43.7,4.9,866.8,PEG(聚乙二醇),42.9,30,261.5,0.2,200,7.86361,106.1,836.6,98.0,97.14,2.64
Li₆PS₅Br,硫化物,35.9,8.6,720.9,尼龙6,40.6,55,173.2,0.1,800,0.74344,55.3,805.5,81.0,96.39,2.36
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,47.9,15.4,357.2,PI(聚酰亚胺),34.3,40,147.0,0.1,200,0.19405,93.5,814.7,98.0,96.18,5.11
Li₇P₃S₁₁,硫化物,45.4,7.4,683.5,纤维素基,43.2,45,441.0,0.5,200,1.21338,48.7,843.8,98.0,96.27,2.31
Li₃PS₄,硫化物,66.6,11.4,539.7,PVA(聚乙烯醇),29.9,60,384.1,0.05,50,1.06713,43.5,1053.3,98.0,96.0,2.35
Li₂S-P₂S₅(75:25),硫化物,43.9,9.9,645.5,PMMA(聚甲基丙烯酸甲酯),44.5,30,228.0,0.5,200,0.70836,70.4,660.9,93.1,97.47,2.49
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,43.9,24.0,326.7,PCL(聚己内酯),63.1,45,75.9,1.0,100,0.19247,93.0,669.8,97.3,97.23,5.0
